log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status
VEL001,DRV147,2024-02-06,07:03:00,145,0.55,263.64,175.00,88.64,1,ahead
VEL002,DRV028,2024-02-06,07:38:00,365,1.47,248.30,175.00,73.30,2,ahead
VEL003,DRV162,2024-02-06,08:15:00,540,2.08,259.62,175.00,84.62,3,ahead
VEL004,DRV195,2024-02-06,08:52:00,738,2.87,257.14,175.00,82.14,4,ahead
VEL005,DRV018,2024-02-06,09:42:00,996,3.70,269.19,175.00,94.19,5,ahead
VEL006,DRV040,2024-02-06,10:28:00,1178,4.47,263.53,175.00,88.53,6,ahead
VEL007,DRV096,2024-02-06,11:15:00,1423,5.25,271.05,175.00,96.05,7,ahead
VEL008,DRV182,2024-02-06,17:58:00,312,0.97,321.65,200.00,121.65,1,ahead
VEL009,DRV163,2024-02-06,18:42:00,580,2.20,263.64,200.00,63.64,2,ahead
VEL010,DRV010,2024-02-06,19:35:00,925,3.58,258.38,200.00,58.38,3,ahead
VEL011,DRV071,2024-02-06,08:32:00,385,1.03,373.79,175.00,198.79,1,ahead
VEL012,DRV192,2024-02-06,09:18:00,680,2.30,295.65,175.00,120.65,2,ahead
VEL013,DRV114,2024-02-06,10:22:00,1148,3.37,340.65,175.00,165.65,3,ahead
VEL014,DRV176,2024-02-06,06:52:00,168,0.87,193.10,157.14,35.96,1,ahead
VEL015,DRV095,2024-02-06,07:38:00,403,2.13,189.20,157.14,32.06,2,ahead
VEL016,DRV103,2024-02-06,07:28:00,245,1.47,166.67,171.43,-4.76,1,at_risk
VEL017,DRV079,2024-02-06,2024-02-06 13:02:24,1513,7.04,214.91,201,13.91,13,ahead
VEL018,DRV115,2024-02-06,2024-02-06 11:19:48,414,5.33,77.67,189,-111.33,15,at_risk
VEL019,DRV157,2024-02-06,2024-02-06 11:24:00,1713,5.4,317.22,200,117.22,14,ahead
VEL020,DRV068,2024-02-06,2024-02-06 12:33:36,1939,6.56,295.58,179,116.58,5,ahead
VEL021,DRV080,2024-02-06,2024-02-06 08:40:48,623,2.68,232.46,172,60.46,2,ahead
VEL022,DRV189,2024-02-06,2024-02-06 12:03:00,1543,6.05,255.04,177,78.04,12,ahead
VEL023,DRV127,2024-02-06,2024-02-06 10:48:00,625,4.8,130.21,173,-42.79,14,at_risk
VEL024,DRV123,2024-02-06,2024-02-06 13:39:36,1433,7.66,187.08,201,-13.92,12,on_track
VEL025,DRV013,2024-02-06,2024-02-06 08:49:48,156,2.83,55.12,202,-146.88,9,at_risk
VEL026,DRV068,2024-02-06,2024-02-06 12:51:00,927,6.85,135.33,192,-56.67,6,at_risk
VEL027,DRV115,2024-02-06,2024-02-06 12:28:48,1645,6.48,253.86,173,80.86,9,ahead
VEL028,DRV008,2024-02-06,2024-02-06 07:18:00,1059,1.3,814.62,165,649.62,9,ahead
VEL029,DRV057,2024-02-06,2024-02-06 08:52:12,2036,2.87,709.41,183,526.41,14,ahead
VEL030,DRV089,2024-02-06,2024-02-06 10:15:00,1046,4.25,246.12,194,52.12,3,ahead
VEL031,DRV035,2024-02-06,2024-02-06 07:35:24,1310,1.59,823.9,167,656.9,10,ahead
VEL032,DRV001,2024-02-06,2024-02-06 08:49:12,1461,2.82,518.09,172,346.09,5,ahead
VEL033,DRV174,2024-02-06,2024-02-06 10:05:24,2500,4.09,611.25,178,433.25,8,ahead
VEL034,DRV161,2024-02-06,2024-02-06 11:46:48,1343,5.78,232.35,189,43.35,1,ahead
VEL035,DRV206,2024-02-06,2024-02-06 07:39:00,1514,1.65,917.58,178,739.58,14,ahead
VEL036,DRV022,2024-02-06,2024-02-06 11:45:00,1071,5.75,186.26,168,18.26,15,ahead
VEL037,DRV008,2024-02-06,2024-02-06 12:55:48,883,6.93,127.42,190,-62.58,5,at_risk
VEL038,DRV029,2024-02-06,2024-02-06 13:55:48,802,7.93,101.13,200,-98.87,7,at_risk
VEL039,DRV155,2024-02-06,2024-02-06 09:40:12,1532,3.67,417.44,195,222.44,6,ahead
VEL040,DRV049,2024-02-06,2024-02-06 09:25:48,1753,3.43,511.08,198,313.08,12,ahead
VEL041,DRV102,2024-02-06,2024-02-06 08:37:12,1309,2.62,499.62,177,322.62,12,ahead
VEL042,DRV126,2024-02-06,2024-02-06 09:27:00,2394,3.45,693.91,173,520.91,6,ahead
VEL043,DRV047,2024-02-06,2024-02-06 12:52:12,371,6.87,54.0,184,-130.0,8,at_risk
VEL044,DRV070,2024-02-06,2024-02-06 10:49:48,820,4.83,169.77,193,-23.23,12,at_risk
VEL045,DRV090,2024-02-06,2024-02-06 08:40:48,2126,2.68,793.28,174,619.28,4,ahead
VEL046,DRV054,2024-02-06,2024-02-06 12:31:48,1043,6.53,159.72,177,-17.28,12,on_track
VEL047,DRV077,2024-02-06,2024-02-06 09:13:12,187,3.22,58.07,201,-142.93,2,at_risk
VEL048,DRV186,2024-02-06,2024-02-06 09:19:12,754,3.32,227.11,192,35.11,11,ahead
VEL049,DRV081,2024-02-06,2024-02-06 13:26:24,839,7.44,112.77,171,-58.23,6,at_risk
VEL050,DRV100,2024-02-06,2024-02-06 07:51:00,2090,1.85,1129.73,168,961.73,2,ahead
VEL051,DRV020,2024-02-06,2024-02-06 11:22:48,2261,5.38,420.26,202,218.26,7,ahead
VEL052,DRV158,2024-02-06,2024-02-06 11:12:00,758,5.2,145.77,190,-44.23,4,at_risk
VEL053,DRV078,2024-02-06,2024-02-06 07:23:24,289,1.39,207.91,190,17.91,8,ahead
VEL054,DRV095,2024-02-06,2024-02-06 11:39:36,1389,5.66,245.41,176,69.41,11,ahead
VEL055,DRV201,2024-02-06,2024-02-06 12:19:12,1687,6.32,266.93,170,96.93,13,ahead
VEL056,DRV011,2024-02-06,2024-02-06 12:59:24,2049,6.99,293.13,189,104.13,5,ahead
VEL057,DRV108,2024-02-06,2024-02-06 09:15:00,1973,3.25,607.08,172,435.08,2,ahead
VEL058,DRV049,2024-02-06,2024-02-06 07:25:12,488,1.42,343.66,197,146.66,4,ahead
VEL059,DRV042,2024-02-06,2024-02-06 10:54:00,244,4.9,49.8,201,-151.2,8,at_risk
VEL060,DRV021,2024-02-06,2024-02-06 11:42:00,1271,5.7,222.98,171,51.98,13,ahead
VEL061,DRV037,2024-02-06,2024-02-06 09:22:48,891,3.38,263.61,192,71.61,5,ahead
VEL062,DRV210,2024-02-06,2024-02-06 07:26:24,2490,1.44,1729.17,185,1544.17,2,ahead
VEL063,DRV079,2024-02-06,2024-02-06 07:53:24,2351,1.89,1243.92,166,1077.92,7,ahead
VEL064,DRV060,2024-02-06,2024-02-06 12:37:48,2427,6.63,366.06,198,168.06,8,ahead
VEL065,DRV086,2024-02-06,2024-02-06 10:23:24,411,4.39,93.62,202,-108.38,9,at_risk
VEL066,DRV109,2024-02-06,2024-02-06 12:09:00,658,6.15,106.99,178,-71.01,11,at_risk
VEL067,DRV052,2024-02-06,2024-02-06 07:51:00,630,1.85,340.54,203,137.54,12,ahead
VEL068,DRV004,2024-02-06,2024-02-06 06:32:24,887,0.54,1642.59,193,1449.59,13,ahead
VEL069,DRV039,2024-02-06,2024-02-06 07:25:12,1437,1.42,1011.97,173,838.97,10,ahead
VEL070,DRV030,2024-02-06,2024-02-06 11:23:24,994,5.39,184.42,170,14.42,9,ahead
VEL071,DRV132,2024-02-06,2024-02-06 12:53:24,1201,6.89,174.31,167,7.31,2,ahead
VEL072,DRV009,2024-02-06,2024-02-06 10:18:00,660,4.3,153.49,188,-34.51,9,at_risk
VEL073,DRV203,2024-02-06,2024-02-06 09:40:12,852,3.67,232.15,165,67.15,4,ahead
VEL074,DRV088,2024-02-06,2024-02-06 06:51:00,1381,0.85,1624.71,198,1426.71,15,ahead
VEL075,DRV101,2024-02-06,2024-02-06 11:26:24,1351,5.44,248.35,193,55.35,3,ahead
VEL076,DRV082,2024-02-06,2024-02-06 11:42:36,2158,5.71,377.93,198,179.93,15,ahead
VEL077,DRV011,2024-02-06,2024-02-06 11:03:00,1592,5.05,315.25,197,118.25,4,ahead
VEL078,DRV062,2024-02-06,2024-02-06 11:28:12,555,5.47,101.46,167,-65.54,4,at_risk
VEL079,DRV026,2024-02-06,2024-02-06 07:54:36,300,1.91,157.07,184,-26.93,14,at_risk
VEL080,DRV125,2024-02-06,2024-02-06 13:40:48,1031,7.68,134.24,203,-68.76,9,at_risk
VEL081,DRV039,2024-02-06,2024-02-06 10:56:24,1034,4.94,209.31,182,27.31,3,ahead
VEL082,DRV149,2024-02-06,2024-02-06 07:03:36,1878,1.06,1771.7,181,1590.7,5,ahead
VEL083,DRV053,2024-02-06,2024-02-06 11:22:12,1713,5.37,318.99,175,143.99,7,ahead
VEL084,DRV067,2024-02-06,2024-02-06 07:07:12,2018,1.12,1801.79,181,1620.79,11,ahead
VEL085,DRV146,2024-02-06,2024-02-06 13:33:00,1892,7.55,250.6,174,76.6,9,ahead
VEL086,DRV137,2024-02-06,2024-02-06 07:01:48,984,1.03,955.34,182,773.34,11,ahead
VEL087,DRV092,2024-02-06,2024-02-06 11:51:36,939,5.86,160.24,201,-40.76,11,at_risk
VEL088,DRV041,2024-02-06,2024-02-06 11:02:24,2244,5.04,445.24,191,254.24,14,ahead
VEL089,DRV190,2024-02-06,2024-02-06 08:52:12,778,2.87,271.08,192,79.08,7,ahead
VEL090,DRV073,2024-02-06,2024-02-06 13:43:48,256,7.73,33.12,180,-146.88,2,at_risk
VEL091,DRV010,2024-02-06,2024-02-06 07:25:48,1256,1.43,878.32,172,706.32,11,ahead
VEL092,DRV024,2024-02-06,2024-02-06 09:33:00,2396,3.55,674.93,186,488.93,11,ahead
VEL093,DRV025,2024-02-06,2024-02-06 09:13:12,514,3.22,159.63,186,-26.37,13,at_risk
VEL094,DRV136,2024-02-06,2024-02-06 07:36:00,1269,1.6,793.12,179,614.12,5,ahead
VEL095,DRV054,2024-02-06,2024-02-06 07:13:48,190,1.23,154.47,179,-24.53,7,at_risk
VEL096,DRV141,2024-02-06,2024-02-06 12:22:12,580,6.37,91.05,172,-80.95,3,at_risk
VEL097,DRV130,2024-02-06,2024-02-06 11:57:36,2306,5.96,386.91,184,202.91,10,ahead
VEL098,DRV169,2024-02-06,2024-02-06 07:13:12,2155,1.22,1766.39,187,1579.39,12,ahead
VEL099,DRV105,2024-02-06,2024-02-06 12:59:24,2493,6.99,356.65,200,156.65,5,ahead
VEL100,DRV135,2024-02-06,2024-02-06 13:13:12,555,7.22,76.87,175,-98.13,6,at_risk
VEL101,DRV004,2024-02-06,2024-02-06 07:51:36,1745,1.86,938.17,199,739.17,9,ahead
VEL102,DRV200,2024-02-06,2024-02-06 10:04:48,1799,4.08,440.93,173,267.93,5,ahead
VEL103,DRV134,2024-02-06,2024-02-06 11:39:00,188,5.65,33.27,174,-140.73,11,at_risk
VEL104,DRV039,2024-02-06,2024-02-06 07:34:12,667,1.57,424.84,201,223.84,12,ahead
VEL105,DRV151,2024-02-06,2024-02-06 06:54:00,1245,0.9,1383.33,205,1178.33,6,ahead
VEL106,DRV137,2024-02-06,2024-02-06 11:35:24,1170,5.59,209.3,191,18.3,12,ahead
VEL107,DRV084,2024-02-06,2024-02-06 07:52:12,2025,1.87,1082.89,187,895.89,13,ahead
VEL108,DRV151,2024-02-06,2024-02-06 10:16:12,2069,4.27,484.54,182,302.54,7,ahead
VEL109,DRV196,2024-02-06,2024-02-06 13:33:36,2282,7.56,301.85,179,122.85,5,ahead
VEL110,DRV201,2024-02-06,2024-02-06 13:36:36,506,7.61,66.49,191,-124.51,13,at_risk
VEL111,DRV042,2024-02-06,2024-02-06 12:50:24,1430,6.84,209.06,205,4.06,2,ahead
VEL112,DRV118,2024-02-06,2024-02-06 11:58:12,464,5.97,77.72,170,-92.28,3,at_risk
VEL113,DRV107,2024-02-06,2024-02-06 07:07:48,385,1.13,340.71,183,157.71,9,ahead
VEL114,DRV113,2024-02-06,2024-02-06 12:33:36,2168,6.56,330.49,165,165.49,7,ahead
VEL115,DRV007,2024-02-06,2024-02-06 13:29:24,2233,7.49,298.13,173,125.13,8,ahead
VEL116,DRV096,2024-02-06,2024-02-06 10:21:36,2189,4.36,502.06,199,303.06,12,ahead
VEL117,DRV170,2024-02-06,2024-02-06 09:32:24,660,3.54,186.44,204,-17.56,4,on_track
VEL118,DRV008,2024-02-06,2024-02-06 11:51:36,179,5.86,30.55,199,-168.45,12,at_risk
VEL119,DRV100,2024-02-06,2024-02-06 08:19:48,1563,2.33,670.82,198,472.82,11,ahead
VEL120,DRV091,2024-02-06,2024-02-06 11:03:36,323,5.06,63.83,175,-111.17,11,at_risk
VEL121,DRV173,2024-02-06,2024-02-06 13:16:48,2294,7.28,315.11,176,139.11,2,ahead
VEL122,DRV209,2024-02-06,2024-02-06 12:48:00,1653,6.8,243.09,197,46.09,6,ahead
VEL123,DRV139,2024-02-06,2024-02-06 09:40:12,358,3.67,97.55,189,-91.45,3,at_risk
VEL124,DRV169,2024-02-06,2024-02-06 13:46:12,1678,7.77,215.96,186,29.96,15,ahead
VEL125,DRV153,2024-02-06,2024-02-06 12:44:24,1173,6.74,174.04,172,2.04,5,ahead
VEL126,DRV005,2024-02-06,2024-02-06 10:07:12,1375,4.12,333.74,181,152.74,4,ahead
VEL127,DRV082,2024-02-06,2024-02-06 12:02:24,159,6.04,26.32,201,-174.68,7,at_risk
VEL128,DRV121,2024-02-06,2024-02-06 13:25:12,1040,7.42,140.16,197,-56.84,14,at_risk
VEL129,DRV113,2024-02-06,2024-02-06 13:31:12,295,7.52,39.23,204,-164.77,14,at_risk
VEL130,DRV012,2024-02-06,2024-02-06 06:55:48,2149,0.93,2310.75,165,2145.75,10,ahead
VEL131,DRV082,2024-02-06,2024-02-06 08:57:36,2035,2.96,687.5,187,500.5,2,ahead
VEL132,DRV081,2024-02-06,2024-02-06 09:07:12,171,3.12,54.81,176,-121.19,7,at_risk
VEL133,DRV100,2024-02-06,2024-02-06 06:34:12,1602,0.57,2810.53,192,2618.53,8,ahead
VEL134,DRV205,2024-02-06,2024-02-06 07:08:24,959,1.14,841.23,197,644.23,15,ahead
VEL135,DRV077,2024-02-06,2024-02-06 09:34:48,779,3.58,217.6,196,21.6,1,ahead
VEL136,DRV033,2024-02-06,2024-02-06 12:16:12,787,6.27,125.52,181,-55.48,4,at_risk
VEL137,DRV098,2024-02-06,2024-02-06 09:28:12,2077,3.47,598.56,184,414.56,6,ahead
VEL138,DRV145,2024-02-06,2024-02-06 13:11:24,1904,7.19,264.81,199,65.81,13,ahead
VEL139,DRV160,2024-02-06,2024-02-06 07:19:12,1253,1.32,949.24,193,756.24,11,ahead
VEL140,DRV015,2024-02-06,2024-02-06 07:42:36,1949,1.71,1139.77,187,952.77,12,ahead
VEL141,DRV146,2024-02-06,2024-02-06 06:32:24,1927,0.54,3568.52,177,3391.52,2,ahead
